date_key,open,high,low,close
2021-08-13,36674.85,36907.85,36575.8,36842.05
2021-08-16,36844.15,37063.3,36703.35,36954.25
2021-08-17,37014.45,37514.0,36979.6,37478.55
2021-08-18,37571.65,37878.85,37538.9,37738.3
2021-08-20,37469.25,38741.45,37401.3,38596.05
2021-08-23,38780.3,38913.75,38311.7,38489.5
2021-08-24,38578.85,38675.05,38124.6,38232.8
2021-08-25,38271.7,38663.3,38264.3,38448.1
2021-08-26,38403.5,38864.2,38398.75,38670.7
2021-08-27,38743.25,38884.55,38549.15,38819.5
2021-08-30,38945.15,39172.95,38915.4,39150.2
2021-08-31,39168.55,39615.0,39105.7,39529.7
2021-09-01,39701.45,39821.15,39464.9,39644.7
2021-09-02,39713.55,40323.65,39648.8,40296.4
2021-09-03,40371.15,40441.85,40103.1,40226.25
2021-09-06,40388.1,40514.0,40130.85,40169.05
2021-09-07,40296.35,40642.65,40237.85,40289.85
2021-09-08,40377.55,40434.7,39910.7,40263.45
2021-09-09,40122.0,40610.4,40120.3,40577.95
2021-09-13,40569.9,40754.8,40474.65,40592.35
2021-09-14,40718.8,40750.6,40444.05,40469.55
2021-09-15,40626.85,40645.4,40404.3,40504.5
2021-09-16,40494.25,41402.3,40453.7,41007.6
2021-09-17,41187.35,41406.1,40704.1,40798.9
2021-09-20,40716.35,41535.0,40631.95,41169.7
2021-09-21,41239.4,41676.8,41108.2,41619.95
2021-09-22,41801.8,41821.9,41429.85,41507.25
2021-09-23,41743.45,41775.75,41502.05,41548.8
2021-09-24,41614.4,41649.05,41034.6,41090.9
2021-09-27,41268.2,41273.0,40657.85,40720.6
2021-09-28,40872.15,41085.9,40537.8,40682.95
2021-09-29,40570.05,40830.7,40413.65,40472.15
2021-09-30,40558.65,40646.55,40338.4,40426.55
2021-10-01,40400.85,40465.85,40036.45,40399.0
2021-10-04,40465.45,40686.0,40319.4,40445.45
2021-10-05,40440.55,40606.45,40373.6,40427.5
2021-10-06,40496.85,40754.45,40079.9,40167.45
2021-10-07,40399.25,40480.55,40210.55,40226.4
2021-10-08,40363.3,40399.5,39915.0,39993.35
2021-10-11,40070.25,40434.05,40061.9,40318.05
2021-10-12,40262.6,40892.6,40239.25,40808.75
2021-10-13,41004.15,41244.25,40697.3,41149.4
2021-10-14,41446.2,41789.3,41277.35,41377.2
2021-10-18,42021.45,42021.45,41488.0,41564.15
2021-10-19,41653.35,41704.5,40171.3,40237.3
2021-10-20,40343.35,40593.1,39589.4,39696.35
2021-10-21,40008.35,40035.65,39163.8,39354.45
2021-10-22,39502.9,39684.05,38563.65,38874.8
2021-10-25,38774.5,38849.45,38028.5,38491.0
2021-10-26,38569.25,38955.2,38426.15,38826.85
2021-10-27,39090.55,39177.5,38845.55,38946.1
2021-10-28,38899.3,38966.55,38098.3,38208.55
2021-10-29,38253.8,38451.8,37878.85,38222.1
2021-11-01,38383.6,38733.95,38082.45,38663.65
2021-11-02,38758.65,38875.45,38499.65,38616.2
2021-11-03,38762.65,38780.8,38146.95,38370.1
2021-11-04,38695.6,38769.1,38627.7,38710.1
2021-11-08,39045.6,39141.05,38434.65,39094.75
2021-11-09,39064.2,39126.35,38860.95,38964.25
2021-11-10,38808.95,39018.3,38709.9,38917.35
2021-11-11,38922.85,38922.85,38419.3,38542.55
2021-11-12,38743.9,38997.75,38587.45,38912.75
2021-11-15,39014.75,39353.7,38937.85,39278.3
2021-11-16,39396.4,39407.15,38951.9,39014.65
2021-11-17,38992.5,39346.65,38953.4,39013.45
2021-11-18,39042.75,39204.6,38646.25,38866.5
2021-11-22,38998.7,39026.25,38147.05,38351.65
2021-11-23,38190.05,38619.95,38059.9,38560.1
2021-11-24,38677.9,38683.95,38066.65,38178.2
2021-11-25,38206.05,38307.85,37837.95,38259.75
2021-11-26,38050.55,38097.2,37457.85,37547.15
2021-11-29,37359.05,37463.7,36808.7,37324.85
2021-11-30,37276.15,37769.45,37275.05,37386.95
2021-12-01,37612.35,37727.45,37341.85,37457.85
2021-12-02,37547.45,37930.3,37434.8,37892.6
2021-12-03,37843.25,37896.9,37473.75,37498.1
2021-12-06,37527.55,37629.15,36745.3,36821.85
2021-12-07,37078.3,37347.05,36907.1,37175.85
2021-12-08,37200.8,37695.8,37200.8,37659.95
2021-12-09,37632.75,38264.3,37511.55,38201.65
2021-12-10,38287.15,38337.4,37986.85,38189.55
2021-12-13,38408.8,38450.95,37772.95,37823.55
2021-12-14,37817.6,37937.55,37499.45,37642.6
2021-12-15,37692.7,37766.65,37318.4,37424.65
2021-12-16,37538.3,37566.6,37110.1,37244.35
2021-12-17,37164.85,37199.5,36378.25,36438.0
2021-12-20,36231.15,36244.15,35653.55,36084.65
2021-12-21,36295.7,36674.0,36174.4,36336.8
2021-12-22,36558.65,36669.45,36309.3,36505.55
2021-12-23,36756.7,37041.85,36623.05,36995.1
2021-12-24,37136.25,37152.3,36836.95,36913.75
2021-12-27,36871.3,36965.05,36558.0,36883.4
2021-12-28,37004.5,37191.1,36887.3,37162.7
2021-12-29,37180.3,37236.35,36991.1,37028.7
2021-12-30,37063.15,37159.35,36999.4,37075.65
2021-12-31,37206.8,37630.4,37149.3,37579.95
2022-01-03,37673.25,37725.5,37559.75,37606.05
2022-01-04,37687.6,37842.65,37477.75,37800.35
2022-01-05,37798.7,37941.4,37690.7,37910.95
