_id,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TIMESTAMP,TIMESTAMP,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,createdAt,updatedAt,__v,SLBMH_TOT_VAL,VWAP,mTIMESTAMP,CA,symChange
68f767d36bcbd791ba675437,TATAMOTORS,EQ,N,2025-10-21,2025-10-20T18:30:00.000Z,403.4,400.05,402.8,401.85,400.85,399.75,3449156,1387246294.85,421.55,376.3,72075,INE155A01022,2025-10-21T11:00:35.034Z,2025-10-21T11:00:35.034Z,0,,402.2,21-Oct-2025,,
68f6220b1c43338139b50dda,TATAMOTORS,EQ,N,2025-10-20,2025-10-19T18:30:00.000Z,403.4,396.6,400.05,399.75,399.6,396.6,10471672,4185242429.6,421.55,376.3,165242,INE155A01022,2025-10-20T11:50:35.376Z,2025-10-20T11:50:35.376Z,0,,399.67,20-Oct-2025,,
68f22d8af494551cf810c26d,TATAMOTORS,EQ,N,2025-10-17,2025-10-16T18:30:00.000Z,402.5,392.25,396.8,396.6,396.5,396.8,16564547,6586263007.9,421.55,376.3,183307,INE155A01022,2025-10-17T11:50:34.952Z,2025-10-17T11:50:34.952Z,0,,397.61,17-Oct-2025,,
68f0dbee42599ba2299ce830,TATAMOTORS,EQ,N,2025-10-16,2025-10-15T18:30:00.000Z,400.45,389.55,395.45,396.8,396.4,390.85,21983752,8712555504.8,421.55,376.3,247579,INE155A01022,2025-10-16T11:50:06.131Z,2025-10-16T11:50:06.131Z,0,,396.32,16-Oct-2025,,
68ef8b5da2687b7d47c1cd11,TATAMOTORS,EQ,N,2025-10-15,2025-10-14T18:30:00.000Z,403.0,388.0,403.0,390.85,391.9,395.45,26953559,10603305584.4,421.55,376.3,355164,INE155A01022,2025-10-15T11:54:05.341Z,2025-10-15T11:54:05.341Z,0,,393.39,15-Oct-2025,,
68ee3b09280e7792ce8d698b,TATAMOTORS,EQ,N,2025-10-14,2025-10-13T18:30:00.000Z,421.55,376.3,400.0,395.45,395.0,660.75,52267874,21125939174.3,421.55,376.3,894647,INE155A01022,2025-10-14T11:59:05.355Z,2025-10-14T11:59:05.355Z,0,,404.19,14-Oct-2025,"[{'symbol': 'TMPV', 'series': 'EQ', 'ind': '-', 'faceVal': '2', 'subject': 'Demerger', 'exDate': '14-Oct-2025', 'recDate': '14-Oct-2025', 'bcStartDate': '-', 'bcEndDate': '-', 'ndStartDate': '-', 'comp': 'Tata Motors Passenger Vehicles Limited', 'isin': 'INE155A01022', 'ndEndDate': '-', 'caBroadcastDate': None}]",
68ed373b2144793e5708089d,TATAMOTORS,EQ,N,2025-10-13,2025-10-12T18:30:00.000Z,679.4,658.1,679.0,660.75,664.0,678.95,33288645,22144426396.95,940.0,535.75,389010,INE155A01022,2025-10-13T17:30:35.705Z,2025-10-13T17:30:35.705Z,0,,665.22,13-Oct-2025,,
68ebbb6dfc3b8e0c195f6196,TATAMOTORS,EQ,N,2025-10-10,2025-10-09T18:30:00.000Z,688.6,666.9,684.8,678.95,679.15,681.1,16069904,10929299403.0,948.45,535.75,246932,,2025-10-12T14:30:05.871Z,2025-10-12T14:30:05.871Z,0,,680.11,10-Oct-2025,,
68e7a18b65acef34599493df,TATAMOTORS,EQ,N,2025-10-09,2025-10-08T18:30:00.000Z,685.0,668.8,684.6,681.1,684.4,681.55,16202851,10939089406.35,948.45,535.75,253303,INE155A01022,2025-10-09T11:50:35.149Z,2025-10-09T11:50:35.149Z,0,,675.13,09-Oct-2025,,
68e6500b4fab3216508cd5bf,TATAMOTORS,EQ,N,2025-10-08,2025-10-07T18:30:00.000Z,702.0,679.0,694.9,681.55,680.3,698.05,16568975,11428892526.75,948.45,535.75,234881,INE155A01022,2025-10-08T11:50:35.536Z,2025-10-08T11:50:35.536Z,0,,689.78,08-Oct-2025,,
68e4fe8b8b31a902e6622c9e,TATAMOTORS,EQ,N,2025-10-07,2025-10-06T18:30:00.000Z,712.9,697.15,712.65,698.05,698.1,712.65,13099357,9202235925.15,948.45,535.75,232049,INE155A01022,2025-10-07T11:50:35.187Z,2025-10-07T11:50:35.187Z,0,,702.5,07-Oct-2025,,
68e3ad0b697b39ba8e8fc9c4,TATAMOTORS,EQ,N,2025-10-06,2025-10-05T18:30:00.000Z,718.5,703.95,718.0,712.65,712.9,716.1,10333314,7341582214.6,948.45,535.75,189811,INE155A01022,2025-10-06T11:50:35.521Z,2025-10-06T11:50:35.521Z,0,,710.48,06-Oct-2025,,
68dfb88b5fe07ab51887e512,TATAMOTORS,EQ,N,2025-10-03,2025-10-02T18:30:00.000Z,739.7,715.0,718.5,716.1,715.85,718.35,27786917,20104323908.2,996.95,535.75,348251,INE155A01022,2025-10-03T11:50:35.127Z,2025-10-03T11:50:35.127Z,0,,723.52,03-Oct-2025,,
68dd158bbc643bf298288681,TATAMOTORS,EQ,N,2025-10-01,2025-09-30T18:30:00.000Z,720.0,679.2,681.0,718.35,718.0,680.2,30163206,21336021321.4,996.95,535.75,378296,INE155A01022,2025-10-01T11:50:35.600Z,2025-10-01T11:50:35.600Z,0,,707.35,01-Oct-2025,,
68dbb9634516e6c816beb60c,TATAMOTORS,EQ,N,2025-09-30,2025-09-29T18:30:00.000Z,683.5,666.65,672.0,680.2,682.55,672.5,15001606,10113913023.35,996.95,535.75,252686,,2025-09-30T11:05:07.396Z,2025-09-30T11:05:07.396Z,0,,674.19,30-Sep-2025,,
68da72a9446826358e817fbb,TATAMOTORS,EQ,N,2025-09-29,2025-09-28T18:30:00.000Z,685.0,670.0,684.0,672.5,674.0,672.9,13014474,8784769229.55,996.95,535.75,238452,INE155A01022,2025-09-29T11:51:05.629Z,2025-09-29T11:51:05.629Z,0,,675.0,29-Sep-2025,,
68d67e29681dbd0cbf670876,TATAMOTORS,EQ,N,2025-09-26,2025-09-25T18:30:00.000Z,680.35,662.35,666.0,672.9,673.95,664.3,15780434,10635061090.05,1000.4,535.75,244856,INE155A01022,2025-09-26T11:51:05.190Z,2025-09-26T11:51:05.190Z,0,,673.94,26-Sep-2025,,
68d531d0cf29495a78aaa37e,TATAMOTORS,EQ,N,2025-09-25,2025-09-24T18:30:00.000Z,675.0,655.3,669.9,664.3,664.9,682.95,24687611,16420172194.75,1000.4,535.75,411715,INE155A01022,2025-09-25T12:13:04.954Z,2025-09-25T12:13:04.954Z,0,,665.12,25-Sep-2025,,
68d3db0c470c248087310fc5,TATAMOTORS,EQ,N,2025-09-24,2025-09-23T18:30:00.000Z,703.3,681.3,700.5,682.95,683.0,701.35,13252215,9118412420.7,1000.4,535.75,232509,INE155A01022,2025-09-24T11:50:36.225Z,2025-09-24T11:50:36.225Z,0,,688.07,24-Sep-2025,,
68d289a94eee09fba3284099,TATAMOTORS,EQ,N,2025-09-23,2025-09-22T18:30:00.000Z,707.8,697.0,701.8,701.35,702.2,696.25,11904667,8351027331.25,1000.4,535.75,194058,INE155A01022,2025-09-23T11:51:05.164Z,2025-09-23T11:51:05.164Z,0,,701.49,23-Sep-2025,,
68d1380b4d1e95e847ba90b8,TATAMOTORS,EQ,N,2025-09-22,2025-09-21T18:30:00.000Z,712.0,694.85,709.0,696.25,695.3,707.45,9688597,6811125096.2,1000.4,535.75,180207,INE155A01022,2025-09-22T11:50:35.412Z,2025-09-22T11:50:35.412Z,0,,703.0,22-Sep-2025,,
68cd438a111577d324d53544,TATAMOTORS,EQ,N,2025-09-19,2025-09-18T18:30:00.000Z,713.5,704.95,713.5,707.45,706.9,711.2,12127319,8599062316.45,1000.4,535.75,144785,INE155A01022,2025-09-19T11:50:34.735Z,2025-09-19T11:50:34.735Z,0,,709.07,19-Sep-2025,,
68cbf22a1b7d4fa299ef39d9,TATAMOTORS,EQ,N,2025-09-18,2025-09-17T18:30:00.000Z,725.25,707.6,722.0,711.2,712.5,719.15,12199357,8727872848.5,1000.4,535.75,185289,INE155A01022,2025-09-18T11:51:06.437Z,2025-09-18T11:51:06.437Z,0,,715.44,18-Sep-2025,,
68caa08bfb26028c352610e1,TATAMOTORS,EQ,N,2025-09-17,2025-09-16T18:30:00.000Z,722.95,714.3,715.0,719.15,719.0,713.25,11872451,8541253779.15,1000.4,535.75,197632,INE155A01022,2025-09-17T11:50:35.695Z,2025-09-17T11:50:35.695Z,0,,719.42,17-Sep-2025,,
68c94f0be75d550ed43a21d6,TATAMOTORS,EQ,N,2025-09-16,2025-09-15T18:30:00.000Z,719.7,705.0,715.0,713.25,714.9,712.9,9765743,6960076331.35,1000.4,535.75,162968,INE155A01022,2025-09-16T11:50:35.037Z,2025-09-16T11:50:35.037Z,0,,712.7,16-Sep-2025,,
68c7fd8a6dc6c52cf553c7f5,TATAMOTORS,EQ,N,2025-09-15,2025-09-14T18:30:00.000Z,721.95,711.55,715.3,712.9,713.05,715.25,6007524,4295454082.35,1000.4,535.75,116693,INE155A01022,2025-09-15T11:50:34.542Z,2025-09-15T11:50:34.542Z,0,,715.01,15-Sep-2025,,
68c4133c64d438419958e439,TATAMOTORS,EQ,N,2025-09-12,2025-09-11T18:30:00.000Z,718.9,707.35,708.0,715.25,714.15,705.85,8252416,5898885921.9,1049.95,535.75,128604,INE155A01022,2025-09-12T12:34:04.882Z,2025-09-12T12:34:04.882Z,0,,714.81,12-Sep-2025,,
68c2b76d32ffc7f8972d4cdb,TATAMOTORS,EQ,N,2025-09-11,2025-09-10T18:30:00.000Z,712.0,704.55,710.2,705.85,705.95,709.1,5530633,3910955802.35,1049.95,535.75,114617,INE155A01022,2025-09-11T11:50:05.402Z,2025-09-11T11:50:05.402Z,0,,707.14,11-Sep-2025,,
68c1660a6970da2e5a7452d2,TATAMOTORS,EQ,N,2025-09-10,2025-09-09T18:30:00.000Z,720.0,702.7,717.65,709.1,710.2,715.55,10363493,7379774119.55,1049.95,535.75,155864,INE155A01022,2025-09-10T11:50:34.909Z,2025-09-10T11:50:34.909Z,0,,712.09,10-Sep-2025,,
68c038c2b0b4ffb3df6aa8df,TATAMOTORS,EQ,N,2025-09-09,2025-09-08T18:30:00.000Z,722.25,713.5,721.15,715.55,715.2,719.5,9409853,6742510482.95,1049.95,535.75,130760,,2025-09-09T14:25:06.347Z,2025-09-09T14:25:06.347Z,0,,716.54,09-Sep-2025,,
68bec2ed0b01a3712bb10d1a,TATAMOTORS,EQ,N,2025-09-08,2025-09-07T18:30:00.000Z,722.0,694.05,695.0,719.5,721.1,691.7,20531027,14660223306.05,1049.95,535.75,261302,INE155A01022,2025-09-08T11:50:05.155Z,2025-09-08T11:50:05.155Z,0,,714.05,08-Sep-2025,,
68bb097da4b5ac517560b260,TATAMOTORS,EQ,N,2025-09-05,2025-09-04T18:30:00.000Z,697.35,683.1,690.9,691.7,693.5,687.5,6692975,4623372003.7,1105.0,535.75,132796,INE155A01022,2025-09-05T16:02:05.717Z,2025-09-05T16:02:05.717Z,0,,690.78,05-Sep-2025,,
68b97d0c144df03b279c15a4,TATAMOTORS,EQ,N,2025-09-04,2025-09-03T18:30:00.000Z,706.35,685.7,705.9,687.5,688.0,692.05,13439418,9347392408.15,1105.0,535.75,224068,INE155A01022,2025-09-04T11:50:36.365Z,2025-09-04T11:50:36.365Z,0,,695.52,04-Sep-2025,,
68b82b8bdab4fd0247373516,TATAMOTORS,EQ,N,2025-09-03,2025-09-02T18:30:00.000Z,693.45,685.0,688.0,692.05,691.8,684.4,6094892,4205317034.75,1105.0,535.75,116221,INE155A01022,2025-09-03T11:50:35.563Z,2025-09-03T11:50:35.563Z,0,,689.97,03-Sep-2025,,
68b6da0bc9b1be460f9e9eab,TATAMOTORS,EQ,N,2025-09-02,2025-09-01T18:30:00.000Z,694.65,681.65,690.15,684.4,684.3,690.15,7854694,5409894253.15,1105.0,535.75,157827,INE155A01022,2025-09-02T11:50:35.299Z,2025-09-02T11:50:35.299Z,0,,688.75,02-Sep-2025,,
